EENHEID;EENHEID_OMS;Dimensie;Omrekenfactor;Eenheidgroep;DATUM_STATUS;STATUS
%;procent;;;Overig;10-6-2011;Gepubliceerd
/m;per meter;/L;1;SI afgeleide eenheid;9-2-2013;Gepubliceerd
A;ampère;I;1;SI grondeenheid;10-6-2011;Gepubliceerd
B;Beaufort;;;Overig;10-6-2011;Gepubliceerd
Bq/kg;becquerel per kilogram;/MT;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
Bq/m3;becquerel per kubieke meter;/L3T;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
DIMSLS;dimensieloos;;;Overig;10-6-2011;Gepubliceerd
EBC;European Brewery Convention Turbidity Unit;;;Overig;19-10-2013;Gepubliceerd
FNU;Formazine Nephelometric Unit;;;Overig;19-10-2013;Gepubliceerd
FTU;Formazine Turbidity Unit;;;Overig;10-6-2011;Gepubliceerd
Hz;hertz;/T;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
J;joule;L2M/T2;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
J/cm2;joule per vierkante centimeter;L2M/L2T2;0.0001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
J/g;joule per gram;L2M/MT2;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
JTU;Jackson Turbidity Unit;;;Overig;10-6-2011;Gepubliceerd
MJ/s;megajoule per seconde;L2M/T3;1000000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
NTU;Nephelometric Turbidity Unit;;;Overig;10-6-2011;Gepubliceerd
Pa;pascal;M/LT2;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
S/m;siemens per meter;T3I2/L3M;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
TJ;terajoule;L2M/T2;1,00E+18;SI afgeleide eenheid;11-12-2012;Gepubliceerd
TU;Toxic Unit;;;Overig;10-6-2011;Gepubliceerd
V;volt;L2M/T3I;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
Wh/ie;wattuur per inwoner equivalent;;;Overig;10-6-2011;Gepubliceerd
Wh/kg;wattuur per kilogram;L2M/MT2;3600000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
a;jaar;T;;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
bar;bar;M/LT2;100000;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
cd;candela;J;1;SI afgeleide eenheid;9-2-2013;Gepubliceerd
cd/m2;candela per vierkante meter;J/L2;1;SI afgeleide eenheid;9-2-2013;Gepubliceerd
cm;centimeter;L;0.01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
cm/s;centimeter per seconde;L/T;0.01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
cm2;vierkante centimeter;L2;0.0001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
cm2/Hz;vierkante centimeter per hertz;L2T;0.0001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
cm2s;vierkante centimeter seconde;L2T;0.0001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
coC;centigraad Celsius;O;0.01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
cs;centiseconde;T;0.01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
d;dag;T;1,16E+01;SI niet-SI-eenheid;11-12-2012;Gepubliceerd
dB;decibel;;;Overig;27-9-2011;Gepubliceerd
dbar;decibar;M/LT2;10000;SI niet-SI-eenheid;27-9-2011;Gepubliceerd
dm;decimeter;L;0.1;SI afgeleide eenheid;11-12-2012;Gepubliceerd
dm/s;decimeter per seconde;L/T;0.1;SI afgeleide eenheid;11-12-2012;Gepubliceerd
dm3/s;kubieke decimeter per seconde;L3/T;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
doC;decigraad Celsius;O;0.1;SI afgeleide eenheid;11-12-2012;Gepubliceerd
ds;deciseconde;T;0.1;SI afgeleide eenheid;11-12-2012;Gepubliceerd
g;gram;M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
g/a;gram per jaar;M/T;;SI afgeleide eenheid;10-6-2011;Gepubliceerd
g/d;gram per dag;M/T;1,16E-02;SI afgeleide eenheid;11-12-2012;Gepubliceerd
g/dl;gram per deciliter;M/L3;10;SI afgeleide eenheid;10-6-2011;Gepubliceerd
g/ie;gram per inwoner equivalent;;;Overig;10-6-2011;Gepubliceerd
g/kg;gram per kilogram;M/M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
g/l;gram per liter;M/L3;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
g/m2;gram per vierkante meter;M/L2;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
g/m3;gram per kubieke meter;M/L3;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
g/ml;gram per milliliter;M/L3;1000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
g/s;gram per seconde;M/T;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
graad;graad;;;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
h;uur;T;2,78E+02;SI niet-SI-eenheid;11-12-2012;Gepubliceerd
hPa;hectopascal;M/LT2;100;SI afgeleide eenheid;10-6-2011;Gepubliceerd
ha;hectare;L2;10000;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
ie;inwoner equivalent;;;Overig;10-6-2011;Gepubliceerd
kHz;kilohertz;/T;1000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
kJ/g;kilojoule per gram;L2M/MT2;1000000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
kV;kilovolt;L2M/T3I;1000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
kW;kilowatt;L2M/T3;1000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
kWh;kilowattuur;L2M/T2;3600000;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
kWh/dam3;kilowattuur per kubieke decameter;L2M/L3T2;3,60E+15;SI afgeleide eenheid;11-12-2012;Gepubliceerd
kWh/m3;kilowattuur per kubieke meter;L2M/L3T2;3600000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
keV;kilo electronvolt;;;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
kg;kilogram;M;1;SI grondeenheid;10-6-2011;Gepubliceerd
kg/a;kilogram per jaar;M/T;;SI afgeleide eenheid;10-6-2011;Gepubliceerd
kg/h;kilogram per uur;M/T;2,78E+02;SI afgeleide eenheid;11-12-2012;Gepubliceerd
kg/ha;kilogram per hectare;M/L2;0.0001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
kg/ha.a;kilogram per hectare per jaar;M/L2T;;SI afgeleide eenheid;28-11-2012;Gepubliceerd
kg/km2;kilogram per vierkante kilometer;M/L2;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
kg/m3;kilogram per kubieke meter;M/L3;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
kg/ton;kilogram per ton;M/M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
km;kilometer;L;1000;SI afgeleide eenheid;10-6-2011;Gepubliceerd
km2;vierkante kilometer;L2;1000000;SI afgeleide eenheid;3-8-2013;Gepubliceerd
l;liter;L3;0.001;SI niet-SI-eenheid;11-12-2012;Gepubliceerd
l/d;liter per dag;L3/T;1,16E-02;SI afgeleide eenheid;17-4-2014;Gepubliceerd
l/h;liter per uur;L3/T;2,78E-01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
l/ie;liter per inwoner equivalent;;;Overig;10-6-2011;Gepubliceerd
l/kg;liter per kilogram;L3/M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
l/m3;liter per kubieke meter;L3/L3;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
l/min;liter per minuut;L3/T;1,67E+01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
l/s;liter per seconde;L3/T;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
l/s.ha;liter per seconde per hectare;L3/L2T;10;SI afgeleide eenheid;3-8-2013;Gepubliceerd
m;meter;L;1;SI grondeenheid;10-6-2011;Gepubliceerd
m/s;meter per seconde;L/T;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
m2;vierkante meter;L2;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
m3;kubieke meter;L3;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
m3/a;kubieke meter per jaar;L3/T;;SI afgeleide eenheid;10-6-2011;Gepubliceerd
m3/d;kubieke meter per dag;L3/T;1,16E+01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
m3/h;kubieke meter per uur;L3/T;2,78E+02;SI afgeleide eenheid;11-12-2012;Gepubliceerd
m3/ie;kubieke meter per inwoner equivalent;;;Overig;10-6-2011;Gepubliceerd
m3/min;kubieke meter per minuut;L3/T;1,67E+04;SI afgeleide eenheid;11-12-2012;Gepubliceerd
m3/s;kubieke meter per seconde;L3/T;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
mBq/l;millibecquerel per liter;/L3T;1;SI afgeleide eenheid;10-6-2011;Gepubliceerd
mHz;millihertz;/T;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mPa.s;millipascal seconde;M/LT;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mS/cm;millisiemens per centimeter;T3I2/L3M;0.1;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mS/m;millisiemens per meter;T3I2/L3M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mV;millivolt;L2M/T3I;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mbar;millibar;M/LT2;100;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
meq/l;milliequivalent per liter;;;Overig;10-6-2011;Gepubliceerd
mg;milligram;M;0.000001;SI afgeleide eenheid;13-9-2014;Gepubliceerd
mg/g;milligram per gram;M/M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mg/g.h;milligram per gram uur;M/MT;2,78E-01;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mg/kg;milligram per kilogram;M/M;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mg/l;milligram per liter;M/L3;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mg/m2;milligram per vierkante meter;M/L2;0.000001;SI afgeleide eenheid;23-8-2013;Gepubliceerd
mg/m2.d;milligram per vierkante meter per dag;M/L2T;1,16E-05;SI afgeleide eenheid;15-5-2013;Gepubliceerd
mg/m3;milligram per kubieke meter;M/L3;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mg/ml;milligram per milliliter;M/L3;1;SI afgeleide eenheid;27-9-2011;Gepubliceerd
min;minuut;T;1,67E+04;SI niet-SI-eenheid;11-12-2012;Gepubliceerd
ml;milliliter;L3;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
ml/g;milliliter per gram;L3/M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
ml/l;milliliter per liter;L3/L3;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mm;millimeter;L;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mm/a;millimeter per jaar;L/T;;SI afgeleide eenheid;28-10-2014;Gepubliceerd
mm/d;millimeter per dag;L/T;1,16E-02;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mm/h;millimeter per uur;L/T;2,78E-01;SI afgeleide eenheid;28-10-2014;Gepubliceerd
mm/mnd;millimeter per maand;L/T;;SI afgeleide eenheid;28-10-2014;Gepubliceerd
mm/w;millimeter per week;L/T;1,65E-03;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mm2;vierkante millimeter;L2;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mm3/l;kubieke millimeter per liter;L3/L3;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mm3/ml;kubieke millimeter per milliliter;L3/L3;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mmol;millimol;N;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mmol/kg;millimol per kilogram;N/M;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mmol/l;millimol per liter;N/L3;0.000001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
mnd;maand;T;;SI niet-SI-eenheid;10-6-2011;Gepubliceerd
mol;mol;N;1;SI grondeenheid;10-6-2011;Gepubliceerd
mol/l;mol per liter;N/L3;0.001;SI afgeleide eenheid;11-12-2012;Gepubliceerd
