HOEDANIGHEID;HOED_OMS;Hoedanigheidgroep;DATUM_STATUS;STATUS
136gTZV;uitgedrukt in 136 g TZV;HoedanigheidEquivalent;10-6-2011;Gepubliceerd
136gTZVd;uitgedrukt in 136 g TZV / drooggewicht;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
150gTZV;uitgedrukt in 150 g TZV;HoedanigheidEquivalent;10-6-2011;Gepubliceerd
180gTZV;uitgedrukt in 180 g TZV;HoedanigheidEquivalent;10-6-2011;Gepubliceerd
180gTZVd;uitgedrukt in 180 g TZV / drooggewicht;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
18oC;t.o.v. 18 graden Celsius;HoedanigheidReferentieBasis;10-6-2011;Gepubliceerd
20oC;t.o.v. 20 graden Celsius;HoedanigheidReferentieBasis;10-6-2011;Gepubliceerd
20oCINSU;t.o.v. 20 graden Celsius / in situ gemeten;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
22oC;t.o.v. 22 graden Celsius;HoedanigheidReferentieBasis;26-8-2011;Gepubliceerd
25oC;t.o.v. 25 graden Celsius;HoedanigheidReferentieBasis;10-6-2011;Gepubliceerd
25oCINSU;t.o.v. 25 graden Celsius / in situ gemeten;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
36oC;t.o.v. 36 graden Celsius;HoedanigheidReferentieBasis;26-8-2011;Gepubliceerd
54gBZV;uitgedrukt in 54 g BZV;HoedanigheidEquivalent;10-6-2011;Gepubliceerd
54gBZVdg;uitgedrukt in 54 g BZV / drooggewicht;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
550oC;t.o.v. 550 graden Celsius;HoedanigheidReferentieBasis;13-9-2014;Gepubliceerd
ASTNMH;t.o.v. astronomisch getij;ReferentieVlak;10-6-2011;Gepubliceerd
BODM;t.o.v. de bodem;ReferentieVlak;10-6-2011;Gepubliceerd
BOORVLR;t.o.v. boorvloer;ReferentieVlak;10-6-2011;Gepubliceerd
BZVdg;uitgedrukt in BZV / drooggewicht;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
BrO3;uitgedrukt in Bromaat;HoedanigheidEquivalent;10-6-2011;Gepubliceerd
BraunBS;uitgedrukt volgens Braun-Blanquet-Schaal;HoedanigheidEquivalent;28-6-2011;Gepubliceerd
Brnf;uitgedrukt in Bromide na filtratie;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
C;uitgedrukt in Koolstof;HoedanigheidEquivalent;10-6-2011;Gepubliceerd
C05C06;koolwaterstoffractie C5-C6;KoolwaterstofFractie;21-1-2014;Gepubliceerd
C05C08;koolwaterstoffractie C5-C8;KoolwaterstofFractie;13-9-2014;Gepubliceerd
C05C08dg;koolwaterstoffractie C5-C8 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C05C10;koolwaterstoffractie C5-C10;KoolwaterstofFractie;13-9-2014;Gepubliceerd
C05C10dg;koolwaterstoffractie C5-C10 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C06C07;koolwaterstoffractie C6-C7;KoolwaterstofFractie;13-9-2014;Gepubliceerd
C06C07dg;koolwaterstoffractie C6-C7 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C06C08;koolwaterstoffractie C6-C8;KoolwaterstofFractie;17-10-2013;Gepubliceerd
C06C08dg;koolwaterstoffractie C6-C8 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C06C10;koolwaterstoffractie C6-C10;KoolwaterstofFractie;10-6-2011;Gepubliceerd
C06C10dg;koolwaterstoffractie C6-C10 / drooggewicht;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
C06C16;koolwaterstoffractie C6-C16;KoolwaterstofFractie;21-1-2014;Gepubliceerd
C06C16dg;koolwaterstoffractie C6-C16 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C06C35;koolwaterstoffractie C6-C35;KoolwaterstofFractie;13-9-2014;Gepubliceerd
C06C35dg;koolwaterstoffractie C6-C35 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C06C40;koolwaterstoffractie C6-C40;KoolwaterstofFractie;13-9-2014;Gepubliceerd
C06C40dg;koolwaterstoffractie C6-C40 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C07C08;koolwaterstoffractie C7-C8;KoolwaterstofFractie;13-9-2014;Gepubliceerd
C07C08dg;koolwaterstoffractie C7-C8 / drooggewicht;HoedanigheidCombinatie;13-9-2014;Gepubliceerd
C08C10;koolwaterstoffractie C8-C10;KoolwaterstofFractie;17-10-2013;Gepubliceerd
C08C10dg;koolwaterstoffractie C8-C10 / drooggewicht;HoedanigheidCombinatie;10-6-2011;Gepubliceerd
C10C12;koolwaterstoffractie C10-C12;KoolwaterstofFractie;10-6-2011;Gepubliceerd
