PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
picrm;picloram;1-2-1918;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
lencl;lenacil;1-8-2164;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
flurnC4y;flurenol-butyl;2-9-2314;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
134DClFyurum;1-(3,4-dichloorfenyl)ureum;8-2-2327;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
captfl;captafol;1-6-2425;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
26DCl4C1yFol;2,6-dichloor-4-methylfenol;4-12-2432;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
quinmtont;quinomethionaat;2-1-2439;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
dodne;dodine;3-10-2439;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
terpihdt;terpinhydraat;6-1-2451;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
bisFolF;bisfenol-F;9-2-2467;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
medntactt;medinoterbacetaat;6-1-2487;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
Dsftsfn;disulfoton-sulfon;5-6-2497;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
DsftSO;disulfoton-sulfoxide;6-7-2497;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
forsfn;foraat-sulfon;7-4-2588;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
forSO;foraat-sulfoxide;8-5-2588;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
fentat;fenthoaat;7-3-2597;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
metocbSO;methiocarbsulfoxide;1-10-2635;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
C15al;pentadecanal;9-11-2765;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
34DC1yactfnn;3,4-dimethylacetofenon;2-1-3637;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
benzln;benazolin;6-5-3813;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
2fenOx1C3ol;2-fenoxy-1-propanol;4-4-4169;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
1ClC16a;1-chloorhexadecaan;1-3-4860;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
Dotolsfn;di-o-tolylsulfon;1-12-5097;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
ClC3yat;chloorpropylaat;2-10-5836;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
eHCH;epsilon-hexachloorcyclohexaan;7-10-6108;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
hHCH;eta-hexachloorcyclohexaan;9-12-6108;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
poxflne;pentoxifylline;6-5-6493;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
DDBAB;dodecyldimethylbenzylammoniumbromide;1-4-7281;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
Ne;neon;9-1-7440;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
Nb;niobium;1-3-7440;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
Os;osmium;2-4-7440;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
Pd;palladium;3-5-7440;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
Pt;platina;4-6-7440;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
Pu;plutonium;5-7-7440;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
Po;polonium;6-8-7440;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
K;kalium;7-9-7440;FYSISCH-CHEMISCH;ChemischeStof;;10-6-2011;Gepubliceerd
Md;mendelevium;1-11-7440;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
Pm;promethium;2-12-7440;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
