WLCODE;WLNAAM;WLTYPE;WL Omschrijving;Status
NL14_1;Langbroekerwetering;M1a;Gebufferde sloten (overgangssloten, sloten in rivierengebied);Kunstmatig
NL14_2;Kromme Rijn;R6;Langzaam stromend riviertje op zand/klei;Sterk veranderd
NL14_3;Westerlaak;M1a;Gebufferde sloten (overgangssloten, sloten in rivierengebied);Kunstmatig
NL14_4;Honswijk;M1a;Gebufferde sloten (overgangssloten, sloten in rivierengebied);Kunstmatig
NL14_5;Biltse Grift;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_6;Ravensewetering;M1a;Gebufferde sloten (overgangssloten, sloten in rivierengebied);Kunstmatig
NL14_7;Merwedekanaal;M7b;Grote diepe kanalen;Kunstmatig
NL14_8;Binnenstad Utrecht;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_9;Maartensdijk;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_10;Hollandse IJssel;M6b;Grote ondiepe kanalen;Sterk veranderd
NL14_11;De Keulevaart;M10;Laagveen vaarten en kanalen;Kunstmatig
NL14_12;De Pleijt;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_13;De Koekoek;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_15;Bijleveld;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_16;Leidsche Rijn;M6b;Grote ondiepe kanalen;Kunstmatig
NL14_18;Galecop;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_19;Gerverscop;M1a;Gebufferde sloten (overgangssloten, sloten in rivierengebied);Kunstmatig
NL14_20;De Tol;M10;Laagveen vaarten en kanalen;Kunstmatig
NL14_21;Ouwenaar-Haarrijn;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_22;Wiericke's;M10;Laagveen vaarten en kanalen;Kunstmatig
NL14_23;Snelrewaard;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_24;Lange Linschoten;M3;Gebufferde (regionale) kanalen;Sterk veranderd
NL14_25;Montfoortse Vaart;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_26;Meijepolder;M8;Gebufferde laagveensloten;Kunstmatig
NL14_27;Oude Rijn;M6b;Grote ondiepe kanalen;Sterk veranderd
NL14_28;Zegveld;M8;Gebufferde laagveensloten;Kunstmatig
NL14_29;Grecht;M10;Laagveen vaarten en kanalen;Sterk veranderd
NL14_30;Kockengen;M8;Gebufferde laagveensloten;Kunstmatig
NL14_31;Kamerik Teijlingens;M3;Gebufferde (regionale) kanalen;Kunstmatig
NL14_32;Houtensewetering;M1a;Gebufferde sloten (overgangssloten, sloten in rivierengebied);Kunstmatig
