Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
K0;Territoriaal kustwater buiten 1-mijlzone;zout;11-7-2013;;G
K1;Open polyhalien kustwater;zout;1-10-2011;;G
K2;Beschut polyhalien kustwater;zout;1-10-2011;;G
K3;Euhalien kustwater;zout;1-10-2011;;G
M10;Laagveen vaarten en kanalen;zoet;1-10-2011;;G
M11;Kleine ondiepe gebufferde plassen;zoet;1-10-2011;;G
M12;Kleine ondiepe zwak gebufferde plassen (vennen);zoet;1-10-2011;;G
M13;Kleine ondiepe zure plassen (vennen);zoet;1-10-2011;;G
M14;Grote ondiepe gebufferde plassen;zoet;1-10-2011;;G
M16;Diepe gebufferde meren;zoet;1-10-2011;;G
M17;Diepe zwakgebufferde meren;zoet;1-10-2011;;G
M18;Diepe zure meren;zoet;1-10-2011;;G
M19;Diepe meren in open verbinding met rivier;zoet;1-10-2011;;G
M1a;Zoete gebufferde sloten;zoet;1-10-2011;;G
M1b;Niet-zoete gebufferde sloten;zoet;1-10-2011;;G
M2;Zwak gebufferde sloten (poldersloten);zoet;1-10-2011;;G
M20;Matig grote diepe gebufferde meren;zoet;1-10-2011;;G
M21;Grote diepe gebufferde meren;zoet;1-10-2011;;G
M22;Kleine ondiepe kalkrijke plassen;zoet;1-10-2011;;G
M23;Grote ondiepe kalkrijke plassen;zoet;1-10-2011;;G
M24;Diepe kalkrijke meren;zoet;1-10-2011;;G
M25;Ondiepe laagveenplassen;zoet;1-10-2011;;G
M26;Ondiepe zwak gebufferde hoogveenplassen/vennen;zoet;1-10-2011;;G
M27;Matig grote ondiepe laagveenplassen;zoet;1-10-2011;;G
M28;Diepe laagveenmeren;zoet;1-10-2011;;G
M29;Matig grote diepe laagveenmeren;zoet;1-10-2011;;G
M3;Gebufferde (regionale) kanalen;zoet;1-10-2011;;G
M30;Zwak brakke wateren;zoet;1-10-2011;;G
M31;Kleine brakke tot zoute wateren;zout;1-10-2011;;G
M32;Grote brakke tot zoute meren;zout;1-10-2011;;G
M4;Zwak gebufferde (regionale) kanalen;zoet;1-10-2011;;G
M5;Ondiep lijnvormig water, open verbinding met rivier/ geÃ¯nundeerd;zoet;1-10-2011;;G
M6a;Grote ondiepe kanalen zonder scheepvaart;zoet;1-10-2011;;G
M6b;Grote ondiepe kanalen met scheepvaart;zoet;1-10-2011;;G
M7a;Grote diepe kanalen zonder scheepvaart;zoet;1-10-2011;;G
M7b;Grote diepe kanalen met scheepvaart;zoet;1-10-2011;;G
M8;Gebufferde laagveensloten;zoet;1-10-2011;;G
M9;Zwak gebufferde hoogveen sloten;zoet;1-10-2011;;G
O1;Estuarium met beperkt getijverschil;zout;1-10-2011;;G
O2;Estuarium met matig getijverschil;zout;1-10-2011;;G
R1;Droogvallende bron;zoet;1-10-2011;;G
R10;Langzaam stromende middenloop op kalkhoudende bodem;zoet;1-10-2011;;G
R11;Langzaam stromende bovenloop op veenbodem;zoet;1-10-2011;;G
R12;Langzaam stromende middenloop/benedenloop op veenbodem;zoet;1-10-2011;;G
R13;Snelstromende bovenloop op zand;zoet;1-10-2011;;G
R14;Snelstromende middenloop/benedenloop op zand;zoet;1-10-2011;;G
R15;Snelstromend riviertje op kiezelhoudende bodem;zoet;1-10-2011;;G
R16;Snelstromende rivier/nevengeul op zandbodem of grind;zoet;1-10-2011;;G
R17;Snelstromende bovenloop op kalkhoudende bodem;zoet;1-10-2011;;G
R18;Snelstromende middenloop/benedenloop op kalkhoudende bodem;zoet;1-10-2011;;G
R2;Permanente bron;zoet;1-10-2011;;G
R3;Droogvallende langzaam stromende bovenloop op zand;zoet;1-10-2011;;G
R4;Permanente langzaam stromende bovenloop op zand;zoet;1-10-2011;;G
R5;Langzaam stromende middenloop/benedenloop op zand;zoet;1-10-2011;;G
R6;Langzaam stromend riviertje op zand/klei;zoet;1-10-2011;;G
R7;Langzaam stromende rivier/nevengeul op zand/klei;zoet;1-10-2011;;G
R8;Zoet getijdenwater (uitlopers rivier) op zand/klei;zoet;1-10-2011;;G
R9;Langzaam stromende bovenloop op kalkhoudende bodem;zoet;1-10-2011;;G
