WNS_CODE;WNS_OMS;PAR_CODE;EENHEID;HOEDANIGHEID;COMPARTIMENT;DATUM_STATUS;STATUS
WNS1;111TClC2a [mg/kg] [dg] [BS];111TClC2a;mg/kg;dg;BS;11-6-2011;Gepubliceerd
WNS10;11DClC2a [mg/kg] [dg] [ZB];11DClC2a;mg/kg;dg;ZB;11-6-2011;Gepubliceerd
WNS100;14xyln [ug/l] [NVT] [AW];14xyln;ug/l;NVT;AW;11-6-2011;Gepubliceerd
WNS10000;PBDE51 [mg/kg] [dg] [BS];PBDE51;mg/kg;dg;BS;7-9-2013;Gepubliceerd
WNS10001;PBDE75 [mg/kg] [dg] [BS];PBDE75;mg/kg;dg;BS;7-9-2013;Gepubliceerd
WNS10002;Ca [g/kg] [dg] [ZB];Ca;g/kg;dg;ZB;17-10-2013;Gepubliceerd
WNS10003;Mg [g/kg] [dg] [ZB];Mg;g/kg;dg;ZB;17-10-2013;Gepubliceerd
WNS10004;minrlole [ug/l] [C06C08] [AW];minrlole;ug/l;C06C08;AW;17-10-2013;Gepubliceerd
WNS10005;minrlole [ug/l] [C08C10] [AW];minrlole;ug/l;C08C10;AW;17-10-2013;Gepubliceerd
WNS10006;DIATMN [n/ml] [NVT] [OW];DIATMN;n/ml;NVT;OW;17-10-2013;Gepubliceerd
WNS10007;NNDC1y1C12aA [ug/l] [NVT] [AW];NNDC1y1C12aA;ug/l;NVT;AW;19-10-2013;Gepubliceerd
WNS10008;Fe [mg/kg] [NVT] [CH];Fe;mg/kg;NVT;CH;19-10-2013;Gepubliceerd
WNS10009;2C1oxC2ol [mg/l] [NVT] [AW];2C1oxC2ol;mg/l;NVT;AW;19-10-2013;Gepubliceerd
WNS1001;C2yactt [mg/kg] [dg] [ZB];C2yactt;mg/kg;dg;ZB;11-6-2011;Gepubliceerd
WNS10010;ipropxC2ol [mg/l] [NVT] [AW];ipropxC2ol;mg/l;NVT;AW;19-10-2013;Gepubliceerd
WNS10011;2C4oxC2ol [mg/l] [NVT] [AW];2C4oxC2ol;mg/l;NVT;AW;19-10-2013;Gepubliceerd
WNS10012;22C4oxC2oxC2 [mg/l] [NVT] [AW];22C4oxC2oxC2;mg/l;NVT;AW;19-10-2013;Gepubliceerd
WNS10013;DC3eygcl [mg/l] [NVT] [AW];DC3eygcl;mg/l;NVT;AW;19-10-2013;Gepubliceerd
WNS10014;sglycln10 [mg/l] [NVT] [AW];sglycln10;mg/l;NVT;AW;30-10-2013;Gepubliceerd
WNS10015;DC3eygcl [mg/l] [NVT] [OW];DC3eygcl;mg/l;NVT;OW;30-10-2013;Gepubliceerd
WNS10016;2C1oxC2ol [mg/l] [NVT] [OW];2C1oxC2ol;mg/l;NVT;OW;30-10-2013;Gepubliceerd
WNS10017;ipropxC2ol [mg/l] [NVT] [OW];ipropxC2ol;mg/l;NVT;OW;30-10-2013;Gepubliceerd
WNS10018;2C4oxC2ol [mg/l] [NVT] [OW];2C4oxC2ol;mg/l;NVT;OW;30-10-2013;Gepubliceerd
WNS10019;22C4oxC2oxC2 [mg/l] [NVT] [OW];22C4oxC2oxC2;mg/l;NVT;OW;30-10-2013;Gepubliceerd
WNS1002;C2yactt [ug/l] [NVT] [AW];C2yactt;ug/l;NVT;AW;11-6-2011;Gepubliceerd
WNS10020;tCldn [mg/kg] [dg] [BS];tCldn;mg/kg;dg;BS;5-11-2013;Gepubliceerd
WNS10021;teldn [mg/kg] [dg] [BS];teldn;mg/kg;dg;BS;5-11-2013;Gepubliceerd
WNS10022;HxClbtDen [mg/kg] [dg] [BS];HxClbtDen;mg/kg;dg;BS;5-11-2013;Gepubliceerd
WNS10023;TROEBHD [FNU] [NVT] [AW];TROEBHD;FNU;NVT;AW;9-11-2013;Gepubliceerd
WNS10024;Fe [ug/l] [NVT] [CH];Fe;ug/l;NVT;CH;9-11-2013;Gepubliceerd
WNS10025;V [ug/l] [NVT] [CH];V;ug/l;NVT;CH;9-11-2013;Gepubliceerd
WNS10026;V [mg/kg] [NVT] [CH];V;mg/kg;NVT;CH;9-11-2013;Gepubliceerd
WNS10027;Mn [ug/l] [NVT] [CH];Mn;ug/l;NVT;CH;9-11-2013;Gepubliceerd
WNS10028;Mn [mg/kg] [NVT] [CH];Mn;mg/kg;NVT;CH;9-11-2013;Gepubliceerd
